Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Cura Appointment,Chrome 104.0.5112.81,,,2022-08-18 17:04:42,2022-08-18 17:06:40,1m - 57.768s,FAILED
,,,,,,,
Test Cases/Cura Appointment/Cura Create Appointment,Chrome 104.0.5112.81,,,2022-08-18 17:04:43,2022-08-18 17:04:56,12.905s,PASSED
println(url),Chrome 104.0.5112.81,,,2022-08-18 17:04:44,2022-08-18 17:04:44,0.147s,PASSED
openBrowser(url),Chrome 104.0.5112.81,,,2022-08-18 17:04:44,2022-08-18 17:04:49,5.483s,PASSED
maximizeWindow(),Chrome 104.0.5112.81,,,2022-08-18 17:04:49,2022-08-18 17:04:49,0.190s,PASSED
takeScreenshot(),Chrome 104.0.5112.81,,,2022-08-18 17:04:49,2022-08-18 17:04:51,1.252s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/Button_Make Appointment""))",Chrome 104.0.5112.81,,,2022-08-18 17:04:51,2022-08-18 17:04:52,0.915s,PASSED
"setText(findTestObject(""Page_CURA Healthcare Service/Input_Username""), username)",Chrome 104.0.5112.81,,,2022-08-18 17:04:52,2022-08-18 17:04:52,0.788s,PASSED
"setText(findTestObject(""Page_CURA Healthcare Service/Input_Password""), password)",Chrome 104.0.5112.81,,,2022-08-18 17:04:52,2022-08-18 17:04:53,0.747s,PASSED
takeScreenshot(),Chrome 104.0.5112.81,,,2022-08-18 17:04:53,2022-08-18 17:04:54,0.449s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/button_Login""))",Chrome 104.0.5112.81,,,2022-08-18 17:04:54,2022-08-18 17:04:55,0.970s,PASSED
takeScreenshot(),Chrome 104.0.5112.81,,,2022-08-18 17:04:55,2022-08-18 17:04:55,0.676s,PASSED
"StatusLogin = verifyElementVisible(findTestObject(""Page_CURA Healthcare Service/Select_Healtcare Center""), STOP_ON_FAILURE)",Chrome 104.0.5112.81,,,2022-08-18 17:04:55,2022-08-18 17:04:56,0.420s,PASSED
tc_type = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 104.0.5112.81,,,2022-08-18 17:04:56,2022-08-18 17:04:56,0.000s,PASSED
"if (tc_type == ""negative"")",Chrome 104.0.5112.81,,,2022-08-18 17:04:56,2022-08-18 17:04:56,0.000s,PASSED
,,,,,,,
Test Cases/Cura Appointment/Cura Create Appointment,Chrome 104.0.5112.81,,,2022-08-18 17:04:56,2022-08-18 17:05:07,10.929s,PASSED
println(url),Chrome 104.0.5112.81,,,2022-08-18 17:04:56,2022-08-18 17:04:56,0.000s,PASSED
openBrowser(url),Chrome 104.0.5112.81,,,2022-08-18 17:04:56,2022-08-18 17:05:01,5.073s,PASSED
maximizeWindow(),Chrome 104.0.5112.81,,,2022-08-18 17:05:01,2022-08-18 17:05:01,0.143s,PASSED
takeScreenshot(),Chrome 104.0.5112.81,,,2022-08-18 17:05:01,2022-08-18 17:05:02,1.062s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/Button_Make Appointment""))",Chrome 104.0.5112.81,,,2022-08-18 17:05:02,2022-08-18 17:05:03,0.801s,PASSED
"setText(findTestObject(""Page_CURA Healthcare Service/Input_Username""), username)",Chrome 104.0.5112.81,,,2022-08-18 17:05:03,2022-08-18 17:05:04,0.756s,PASSED
"setText(findTestObject(""Page_CURA Healthcare Service/Input_Password""), password)",Chrome 104.0.5112.81,,,2022-08-18 17:05:04,2022-08-18 17:05:04,0.738s,PASSED
takeScreenshot(),Chrome 104.0.5112.81,,,2022-08-18 17:05:04,2022-08-18 17:05:05,0.427s,PASSED
